City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Viedma,AR,51.01,overcast clouds,-40.81,-63.0,Hotel Cristal
269,Koscian,PL,42.01,mist,52.09,16.65,U Dudziarza s.c.
270,Lichinga,MZ,69.8,smoke,-13.31,35.24,Residencial Bendiak
272,Olyka,UA,57.0,overcast clouds,50.72,25.81,
273,Sault Sainte Marie,CA,44.6,clear sky,46.52,-84.33,Comfort Inn
274,Severnoye,RU,40.8,light rain,56.35,78.36,Gostinitsa Severyanka
275,Svetlyy,RU,48.2,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
277,Villa Carlos Paz,AR,68.0,dust,-31.42,-64.5,Monte Carlo
278,Salamiyah,SY,63.07,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
279,Anklam,DE,41.0,clear sky,53.86,13.69,Hotel Pommernland - Hansestadt Anklam
280,Matay,EG,70.5,clear sky,28.42,30.78,Nag Aespen
281,Karlstad,SE,42.8,overcast clouds,59.38,13.5,Scandic Karlstad City
282,Comodoro Rivadavia,AR,53.6,clear sky,-45.87,-67.5,Austral Hotel
283,Poole,GB,50.0,clear sky,50.72,-2.0,Thistle Poole Hotel
285,Astana,KZ,42.8,overcast clouds,51.18,71.45,King Hotel Astana
286,Ihosy,MG,68.23,few clouds,-22.4,46.12,Hotely Sariaka
287,Mehamn,NO,46.62,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
288,Bani Walid,LY,65.14,clear sky,31.76,13.99,منزل الصابر أبوفانة
290,Kisangani,CD,68.52,broken clouds,0.52,25.2,Grand Ramela Hotel
292,Mbuyapey,PY,62.58,clear sky,-26.2,-56.75,Cabaña AM
294,Mocuba,MZ,73.38,overcast clouds,-16.84,36.99,Phama Lodge
296,Ghanzi,BW,64.85,few clouds,-21.57,21.78,Ghanzi Farmhouse
300,Boddam,GB,50.0,overcast clouds,57.47,-1.78,Palace Hotel
301,Los Llanos De Aridane,ES,73.4,broken clouds,28.66,-17.92,Valle Aridane
302,Osterholz-Scharmbeck,DE,42.01,broken clouds,53.23,8.8,Hotel Tivoli
303,Ishimbay,RU,39.11,overcast clouds,53.45,56.04,Bashneft
304,Bagan,RU,42.48,light rain,54.1,77.66,
305,Kappeln,DE,46.4,scattered clouds,54.66,9.93,Hotel Restaurant Kappelner Hof
306,Yar-Sale,RU,36.75,overcast clouds,66.83,70.83,Yalemd
307,Fiumicino,IT,64.4,broken clouds,41.77,12.23,Al Porticciolo Hotel
308,Lima,PE,62.6,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
309,Loucovice,CZ,46.99,light rain,48.62,14.26,Rezidence Club Canada
311,Talnakh,RU,19.4,broken clouds,69.49,88.4,Talnakh Hotel
313,Klaksvik,FO,44.6,light rain,62.23,-6.59,Airbnb rooms
314,Camacupa,AO,62.78,overcast clouds,-12.02,17.48,
318,Vallentuna,SE,42.01,scattered clouds,59.53,18.08,First Hotel Lindö Park
320,Polunochnoye,RU,44.42,overcast clouds,60.87,60.42,
321,Saint Anthony,US,57.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
