city_id,city,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
83,Kindu,CD,2020-10-10 18:40:43,-2.95,25.95,73.04,88,100,2.1,overcast clouds
84,Palmer,US,2020-10-10 18:40:43,42.16,-72.33,75.2,50,20,10.29,few clouds
85,Chickasha,US,2020-10-10 18:40:44,35.05,-97.94,81.0,65,1,6.93,clear sky
86,Emerald,AU,2020-10-10 18:40:44,-23.53,148.17,69.8,73,5,11.41,clear sky
87,Butaritari,KI,2020-10-10 18:40:44,3.07,172.79,81.46,71,100,12.88,overcast clouds
88,Coos Bay,US,2020-10-10 18:40:39,43.37,-124.22,60.01,87,90,8.97,overcast clouds
89,Sitka,US,2020-10-10 18:40:45,57.05,-135.33,46.4,81,90,14.99,heavy intensity rain
90,Esperance,AU,2020-10-10 18:40:46,-33.87,121.9,57.2,93,90,12.75,overcast clouds
91,Ukiah,US,2020-10-10 18:40:13,39.15,-123.21,64.99,77,90,3.04,overcast clouds
92,Ballina,AU,2020-10-10 18:40:46,-28.87,153.57,55.0,100,0,6.17,clear sky
93,Dawei,MM,2020-10-10 18:40:46,14.08,98.2,74.3,90,100,2.62,light rain
94,Pevek,RU,2020-10-10 18:40:47,69.7,170.31,32.61,92,100,14.43,overcast clouds
95,Peniche,PT,2020-10-10 18:40:47,39.36,-9.38,64.0,82,0,15.99,clear sky
96,Moyo,UG,2020-10-10 18:40:47,3.66,31.72,64.0,99,91,2.06,overcast clouds
97,Ailigandí,PA,2020-10-10 18:40:47,9.23,-78.02,85.24,68,1,6.29,clear sky
98,Wankyi,GH,2020-10-10 18:40:48,7.74,-2.1,73.98,92,100,1.72,moderate rain
99,Channel-Port aux Basques,CA,2020-10-10 18:40:48,47.57,-59.14,50.5,81,100,15.1,light rain
100,Mosquera,CO,2020-10-10 18:40:48,4.71,-74.23,68.0,49,40,11.41,scattered clouds
101,Chapais,CA,2020-10-10 18:40:48,49.78,-74.85,41.0,93,90,10.29,light rain
102,Chokurdakh,RU,2020-10-10 18:40:49,70.63,147.92,23.58,95,100,6.69,overcast clouds
103,Komsomol'skiy,RU,2020-10-10 18:40:49,43.98,46.7,62.74,66,91,30.62,overcast clouds
104,Yellowknife,CA,2020-10-10 18:37:33,62.46,-114.35,39.2,93,90,10.29,light rain
105,Lüderitz,NA,2020-10-10 18:40:49,-26.65,15.16,62.02,45,0,26.26,clear sky
106,Havre-St-Pierre,CA,2020-10-10 18:40:50,50.23,-63.6,33.8,100,90,11.41,light rain
107,Upington,ZA,2020-10-10 18:40:50,-28.45,21.26,64.4,23,0,3.36,clear sky
108,Tevriz,RU,2020-10-10 18:40:50,57.51,72.4,42.33,98,100,3.6,overcast clouds
109,Magistral'nyy,RU,2020-10-10 18:40:51,56.17,107.45,28.31,90,98,5.84,overcast clouds
110,Mirny,RU,2020-10-10 18:40:51,62.54,113.96,24.8,73,20,4.47,few clouds
111,Linqing,CN,2020-10-10 18:40:51,36.85,115.71,57.92,74,100,6.38,overcast clouds
112,Sept-Îles,CA,2020-10-10 18:39:25,50.2,-66.38,35.01,100,90,9.17,moderate rain
113,Bījār,IR,2020-10-10 18:40:52,35.87,47.61,47.32,53,0,4.38,clear sky
114,Plettenberg Bay,ZA,2020-10-10 18:40:52,-34.05,23.37,54.57,70,99,6.93,overcast clouds
115,Rajapalaiyam,IN,2020-10-10 18:40:53,9.45,77.57,78.94,70,100,7.85,overcast clouds
116,Birjand,IR,2020-10-10 18:40:53,32.87,59.22,53.6,22,0,9.17,clear sky
117,Port Alfred,ZA,2020-10-10 18:40:53,-33.59,26.89,54.73,75,37,10.16,light rain
118,San Andrés,CO,2020-10-10 18:38:24,12.58,-81.7,87.8,74,20,10.29,few clouds
119,Anito,PH,2020-10-10 18:40:54,12.45,125.29,77.45,87,100,3.38,overcast clouds
120,Salinas,EC,2020-10-10 18:40:54,-2.22,-80.97,75.2,73,75,9.17,broken clouds
121,Tigil',RU,2020-10-10 18:40:54,57.8,158.67,32.5,90,94,6.4,overcast clouds
122,Port Elizabeth,ZA,2020-10-10 18:40:54,-33.92,25.57,55.4,71,40,5.82,scattered clouds
123,Swan Hill,AU,2020-10-10 18:38:51,-35.34,143.55,43.39,94,58,6.24,broken clouds
124,Pingyi,CN,2020-10-10 18:40:55,35.5,117.63,62.49,62,100,2.62,overcast clouds
125,Geraldton,AU,2020-10-10 18:40:56,-28.77,114.6,57.2,82,40,8.05,scattered clouds
126,Dikson,RU,2020-10-10 18:40:57,73.51,80.55,32.18,97,100,21.41,overcast clouds
127,Lavrentiya,RU,2020-10-10 18:40:57,65.58,-171.0,35.71,84,100,7.14,overcast clouds
128,Bowen,AU,2020-10-10 18:40:58,-20.02,148.23,64.4,93,40,5.82,scattered clouds
129,Ilulissat,GL,2020-10-10 18:40:58,69.22,-51.1,50.0,34,75,28.86,broken clouds
130,Belmonte,BR,2020-10-10 18:40:59,-15.86,-38.88,84.2,62,25,17.22,scattered clouds
131,Concepción,PY,2020-10-10 18:40:59,-23.41,-57.43,92.97,14,37,7.92,scattered clouds
132,Mogadouro,PT,2020-10-10 18:40:59,41.34,-6.71,63.0,57,1,3.0,clear sky
133,San Cristobal,EC,2020-10-10 18:40:59,-0.9,-89.62,73.4,78,75,11.41,broken clouds
134,Ures,MX,2020-10-10 18:41:00,29.43,-110.4,96.01,29,0,3.0,clear sky
135,Tuatapere,NZ,2020-10-10 18:41:00,-46.13,167.68,53.01,79,6,4.0,clear sky
136,San Ignacio,PE,2020-10-10 18:41:00,-5.15,-79.0,83.64,34,59,5.73,broken clouds
137,Alekseyevsk,RU,2020-10-10 18:41:00,57.84,108.35,28.04,96,100,7.07,overcast clouds
138,Saint-Félicien,CA,2020-10-10 18:41:01,48.65,-72.45,59.0,77,90,10.29,overcast clouds
139,Champerico,GT,2020-10-10 18:41:01,14.3,-91.92,86.0,70,40,9.17,scattered clouds
140,Gamba,GA,2020-10-10 18:41:01,-2.65,10.0,76.42,87,100,9.86,overcast clouds
141,Grand Gaube,MU,2020-10-10 18:41:02,-20.01,57.66,75.99,83,3,1.99,clear sky
142,Touros,BR,2020-10-10 18:39:23,-5.2,-35.46,84.2,66,40,16.11,scattered clouds
143,Rotterdam,US,2020-10-10 18:39:23,42.79,-73.97,75.0,53,75,9.17,broken clouds
144,Humaitá,BR,2020-10-10 18:41:02,-7.51,-63.02,96.01,37,94,0.65,overcast clouds
145,Ostrovnoy,RU,2020-10-10 18:41:03,68.05,39.51,45.97,84,9,16.69,clear sky
146,Mabama,TZ,2020-10-10 18:41:03,-5.13,32.53,79.12,37,48,4.94,scattered clouds
147,Mossamedes,AO,2020-10-10 18:41:03,-15.2,12.15,63.81,83,10,9.22,clear sky
148,Moose Factory,CA,2020-10-10 18:41:03,51.26,-80.61,37.4,78,90,12.75,overcast clouds
149,Coyhaique,CL,2020-10-10 18:41:04,-45.58,-72.07,60.8,38,40,6.93,scattered clouds
150,Naze,JP,2020-10-10 18:41:04,28.37,129.48,77.0,83,75,11.41,broken clouds
151,Punta Arenas,CL,2020-10-10 18:36:16,-53.15,-70.92,51.8,50,99,47.2,overcast clouds
152,Coihueco,CL,2020-10-10 18:41:05,-36.62,-71.83,64.4,39,20,14.99,few clouds
153,Berdigestyakh,RU,2020-10-10 18:41:05,62.1,126.7,25.97,88,100,8.23,overcast clouds
154,Camacha,PT,2020-10-10 18:41:06,33.08,-16.33,71.6,73,75,11.41,broken clouds
155,Kastoria,GR,2020-10-10 18:41:06,40.52,21.27,59.0,58,0,1.12,clear sky
156,Saint-François,GP,2020-10-10 18:41:06,16.25,-61.27,89.6,62,6,9.17,clear sky
157,São Joaquim,BR,2020-10-10 18:41:06,-28.29,-49.93,59.63,53,2,4.7,clear sky
158,Tezu,IN,2020-10-10 18:41:07,27.92,96.17,76.98,65,0,3.29,clear sky
159,Soyo,AO,2020-10-10 18:41:07,-6.13,12.37,76.57,80,12,10.51,few clouds
160,Hamamatsu,JP,2020-10-10 18:39:04,34.7,137.73,66.99,92,73,1.99,broken clouds
161,Longyearbyen,SJ,2020-10-10 18:41:07,78.22,15.64,28.4,58,20,11.41,few clouds
162,São José da Coroa Grande,BR,2020-10-10 18:41:08,-8.9,-35.15,80.11,76,84,15.32,broken clouds
163,Cockburn Town,TC,2020-10-10 18:40:31,21.46,-71.14,86.0,66,0,13.87,clear sky
164,Chui,UY,2020-10-10 18:41:08,-33.7,-53.46,59.34,63,0,7.27,clear sky
165,Brewster,US,2020-10-10 18:39:32,41.4,-73.62,73.0,60,1,12.75,clear sky
166,Kanigoro,ID,2020-10-10 18:41:09,-8.13,112.22,73.6,92,100,1.66,light rain
167,Makkah al Mukarramah,SA,2020-10-10 18:41:09,21.43,39.83,82.96,39,0,3.15,clear sky
168,Uíge,AO,2020-10-10 18:41:09,-7.61,15.06,72.55,70,39,3.94,scattered clouds
169,Makokou,GA,2020-10-10 18:41:09,0.57,12.86,72.63,90,51,2.48,broken clouds
170,Macamic,CA,2020-10-10 18:41:09,48.75,-79.0,42.8,87,90,11.41,mist
171,Galle,LK,2020-10-10 18:41:10,6.04,80.22,80.42,82,86,13.49,light rain
172,Najrān,SA,2020-10-10 18:40:46,17.49,44.13,77.0,29,68,4.7,broken clouds
173,Hithadhoo,MV,2020-10-10 18:41:10,-0.6,73.08,83.1,73,8,12.24,light rain
174,Coquimbo,CL,2020-10-10 18:41:10,-29.95,-71.34,60.8,67,20,12.75,few clouds
175,Kitimat,CA,2020-10-10 18:40:03,54.05,-128.65,46.0,95,87,1.32,light rain
176,Riyadh,SA,2020-10-10 18:37:40,24.69,46.72,77.0,16,0,6.93,clear sky
177,Seydi,TM,2020-10-10 18:41:11,39.48,62.91,47.98,50,0,11.16,clear sky
178,Mahébourg,MU,2020-10-10 18:41:12,-20.41,57.7,73.4,94,75,4.21,broken clouds
179,Kudahuvadhoo,MV,2020-10-10 18:41:12,2.67,72.89,83.14,77,99,15.75,overcast clouds
180,Banmankhi,IN,2020-10-10 18:41:12,25.88,87.18,77.86,69,0,3.71,clear sky
181,Saint-Philippe,RE,2020-10-10 18:41:12,-21.36,55.77,75.2,78,75,2.24,broken clouds
182,Olinda,BR,2020-10-10 18:38:42,-8.01,-34.86,84.2,66,20,10.29,few clouds
183,Soe,ID,2020-10-10 18:41:13,-9.86,124.28,66.56,83,84,4.14,broken clouds
184,Rey Bouba,CM,2020-10-10 18:41:13,8.67,14.18,77.34,85,100,3.96,moderate rain
185,Yantal',RU,2020-10-10 18:41:13,56.85,105.25,28.56,95,100,6.29,overcast clouds
186,Naviraí,BR,2020-10-10 18:41:13,-23.07,-54.19,84.69,22,11,5.39,few clouds
187,Sakakah,SA,2020-10-10 18:41:14,29.97,40.21,80.6,12,0,6.93,clear sky
188,Hasaki,JP,2020-10-10 18:41:14,35.73,140.83,66.2,100,75,14.99,broken clouds
189,Bambous Virieux,MU,2020-10-10 18:41:14,-20.34,57.76,75.99,94,75,4.0,broken clouds
190,Moanda,GA,2020-10-10 18:41:14,-1.56,13.22,75.2,94,40,1.12,scattered clouds
191,Igarka,RU,2020-10-10 18:41:15,67.47,86.58,13.21,96,100,0.81,overcast clouds
192,Vilyuysk,RU,2020-10-10 18:41:15,63.76,121.62,21.96,87,62,3.62,broken clouds
193,Cervo,ES,2020-10-10 18:41:15,43.67,-7.41,59.0,1,32,13.76,scattered clouds
194,Beihai,CN,2020-10-10 18:41:15,21.48,109.1,72.79,77,16,11.48,light rain
195,Severo-Kuril'sk,RU,2020-10-10 18:41:16,50.68,156.12,43.68,75,24,16.11,few clouds
196,Parrita,CR,2020-10-10 18:41:16,9.52,-84.32,78.8,65,75,5.82,broken clouds
197,Maniitsoq,GL,2020-10-10 18:41:17,65.42,-52.9,41.72,71,30,5.5,scattered clouds
198,Palmas,BR,2020-10-10 18:41:17,-10.21,-48.36,87.12,46,99,7.23,moderate rain
199,Beisfjord,NO,2020-10-10 18:41:17,68.38,17.6,46.4,93,75,9.17,broken clouds
200,Broken Hill,AU,2020-10-10 18:41:18,-31.95,141.43,57.2,62,0,1.12,clear sky
201,Hamilton,BM,2020-10-10 18:39:48,32.29,-64.78,78.8,50,75,12.75,broken clouds
202,Prainha,BR,2020-10-10 18:41:18,-1.8,-53.48,98.04,30,12,3.96,few clouds
203,Lake Shasta,US,2020-10-10 18:41:18,40.68,-122.37,66.0,61,100,2.95,overcast clouds
204,Ixtapa,MX,2020-10-10 18:41:19,20.7,-105.2,89.01,70,40,8.05,scattered clouds
205,Broome,AU,2020-10-10 18:41:19,-17.97,122.23,78.8,83,75,5.82,broken clouds
206,Mahon,ES,2020-10-10 18:41:19,39.89,4.27,64.4,77,40,13.87,shower rain
207,Narsaq,GL,2020-10-10 18:41:19,60.92,-46.05,50.0,84,20,9.17,few clouds
208,Saint George,BM,2020-10-10 18:39:06,32.38,-64.68,78.8,50,75,12.75,broken clouds
209,Bubaque,GW,2020-10-10 18:41:20,11.28,-15.83,82.09,77,0,11.1,clear sky
210,Labuhan,ID,2020-10-10 18:41:20,-6.88,112.21,78.76,82,100,7.63,overcast clouds
211,Dongsheng,CN,2020-10-10 18:41:21,39.82,109.98,42.64,65,0,19.98,clear sky
212,Guilin,CN,2020-10-10 18:41:21,25.28,110.29,62.6,93,40,4.47,light rain
213,Nabire,ID,2020-10-10 18:41:21,-3.37,135.48,75.81,89,96,3.29,overcast clouds
214,Piney Green,US,2020-10-10 18:41:21,34.72,-77.32,81.0,65,75,10.29,broken clouds
215,Brae,GB,2020-10-10 18:41:22,60.4,-1.35,48.2,87,25,6.93,light rain
216,Paamiut,GL,2020-10-10 18:41:22,61.99,-49.67,42.24,76,29,18.9,scattered clouds
217,Berlevåg,NO,2020-10-10 18:41:22,70.86,29.09,47.57,82,100,9.53,overcast clouds
