City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Marsh Harbour,BS,26.54,-77.06,82.22,80,80,15.48,light rain
302,Ostrovnoy,RU,68.05,39.51,45.25,87,81,18.25,broken clouds
303,Impfondo,CG,1.64,18.07,71.22,98,100,1.43,moderate rain
304,Rawah,IQ,34.48,41.91,66.97,26,2,6.62,clear sky
305,Porbandar,IN,21.64,69.61,81.09,78,100,11.65,overcast clouds
306,Inta,RU,66.03,60.17,44.94,91,100,10.33,light rain
307,Shelburne,CA,44.08,-80.2,51.8,71,75,6.93,broken clouds
308,Periyanayakkanpalaiyam,IN,11.15,76.93,73.4,94,75,6.93,moderate rain
309,Stepnyak,KZ,52.83,70.78,42.82,81,100,12.95,overcast clouds
310,Dir,PK,35.21,71.88,60.03,38,0,4.85,clear sky
311,Kiruna,SE,67.86,20.23,41.0,86,52,2.24,broken clouds
312,Abu Kamal,SY,34.45,40.92,66.11,27,0,6.17,clear sky
313,Los Llanos De Aridane,ES,28.66,-17.92,73.4,78,75,13.87,broken clouds
314,Marsaxlokk,MT,35.84,14.54,66.99,82,20,3.36,few clouds
315,Kunashak,RU,55.7,61.55,46.4,64,40,13.42,scattered clouds
316,Gap,FR,44.67,6.0,46.0,88,70,8.05,broken clouds
317,Isiolo,KE,0.35,37.58,69.15,68,20,3.42,few clouds
318,Mikhaylov,RU,54.23,39.02,45.0,37,99,9.19,overcast clouds
319,Daura,NG,11.55,11.41,78.57,55,9,4.36,clear sky
320,Luban,PL,51.12,15.29,39.0,93,79,4.7,broken clouds
321,Quelimane,MZ,-17.88,36.89,75.2,94,20,6.93,few clouds
322,Illela,NG,13.73,5.3,85.24,48,74,4.99,broken clouds
323,Amapa,BR,1.0,-52.0,75.61,74,0,5.21,clear sky
324,Abu Samrah,SY,35.3,37.18,62.89,39,0,6.64,clear sky
325,Boende,CD,-0.22,20.87,70.03,96,100,1.32,overcast clouds
326,Ouidah,BJ,6.36,2.09,77.79,86,100,9.6,overcast clouds
327,Bad Mergentheim,DE,49.49,9.77,41.0,86,40,2.24,scattered clouds
328,Iqaluit,CA,63.75,-68.51,37.4,74,75,16.11,broken clouds
329,Arthur,US,39.71,-88.47,69.8,83,20,3.36,few clouds
330,Fidenza,IT,44.86,10.07,55.99,91,100,1.99,heavy intensity rain
331,Kedrovka,RU,55.53,86.05,33.8,98,90,4.47,overcast clouds
332,Sept-Iles,CA,50.2,-66.38,36.0,100,90,3.36,light rain
333,Awjilah,LY,29.11,21.29,63.72,65,0,6.46,clear sky
334,Henties Bay,NA,-22.12,14.28,53.01,88,0,3.0,clear sky
335,Middleton,GB,53.55,-2.2,43.0,96,84,4.56,broken clouds
336,Iracoubo,GF,5.48,-53.2,80.92,79,0,10.16,clear sky
337,Reconquista,AR,-29.15,-59.65,63.91,62,0,8.32,clear sky
