City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
48,Troitsko-Pechorsk,RU,62.71,56.2,48.09,94,100,7.45,overcast clouds
49,Lubao,PH,14.92,120.55,82.4,88,90,4.7,moderate rain
50,Bathsheba,BB,13.22,-59.52,75.2,94,75,4.7,broken clouds
51,San Pedro,PH,14.35,121.02,82.4,83,75,6.93,shower rain
52,Mongo,TD,12.18,18.69,77.45,33,0,2.37,clear sky
53,San Cristobal,VE,7.77,-72.22,66.02,92,99,2.82,moderate rain
54,Iqaluit,CA,63.75,-68.51,37.4,74,75,16.11,broken clouds
55,Roald,NO,62.58,6.13,48.2,93,68,16.11,broken clouds
56,Sept-Iles,CA,50.2,-66.38,37.0,100,90,3.36,light rain
57,Palaikastron,GR,35.2,26.25,66.99,67,0,5.01,clear sky
58,Tasiilaq,GL,65.61,-37.64,35.6,93,100,55.25,moderate rain
59,Souillac,MU,-20.52,57.52,71.6,94,40,3.36,shower rain
60,San Juan,AR,-31.54,-68.54,62.08,28,0,19.3,clear sky
61,Piltene,LV,57.22,21.67,50.0,100,79,3.36,broken clouds
62,Salalah,OM,17.02,54.09,75.2,73,0,1.12,clear sky
63,Busselton,AU,-33.65,115.33,71.01,44,0,4.65,clear sky
64,Gaoua,BF,10.3,-3.25,72.9,90,93,3.98,moderate rain
65,Ribeira Grande,PT,38.52,-28.7,68.94,83,16,6.71,few clouds
66,Kruisfontein,ZA,-34.0,24.73,48.99,94,66,5.03,broken clouds
67,Punta Arenas,CL,-53.15,-70.92,44.6,81,75,16.11,broken clouds
68,Brikama,GM,13.27,-16.65,79.93,86,0,9.13,clear sky
69,Saint-Augustin,CA,51.23,-58.65,46.42,97,100,7.72,overcast clouds
70,Riacho De Santana,BR,-13.61,-42.94,79.79,48,76,3.69,light rain
71,Gunjur,GM,13.2,-16.73,80.53,85,0,9.91,clear sky
72,Bredasdorp,ZA,-34.53,20.04,50.0,87,10,3.36,clear sky
73,Dikson,RU,73.51,80.55,34.0,98,100,19.19,overcast clouds
74,Alta Floresta,BR,-9.88,-56.09,70.83,97,86,1.01,overcast clouds
75,Curitibanos,BR,-27.28,-50.58,51.91,92,48,5.23,scattered clouds
76,Grindavik,IS,63.84,-22.43,46.4,100,90,32.21,heavy intensity rain
77,Bushehr,IR,28.97,50.84,71.6,49,0,6.96,clear sky
78,Santa Cruz De Tenerife,ES,28.47,-16.25,68.0,88,90,11.41,overcast clouds
79,Gornopravdinsk,RU,60.05,69.9,44.24,97,99,5.32,overcast clouds
80,Upernavik,GL,72.79,-56.15,37.29,75,16,2.86,few clouds
81,Mahebourg,MU,-20.41,57.7,71.6,94,40,3.36,shower rain
82,Raudeberg,NO,61.99,5.14,50.0,88,69,22.73,broken clouds
83,Ust-Tsilma,RU,65.44,52.15,49.08,86,89,9.37,overcast clouds
84,Mayor Pablo Lagerenza,PY,-19.93,-60.77,80.51,37,0,5.37,clear sky
85,Esperantinopolis,BR,-4.87,-44.71,77.68,72,100,8.5,overcast clouds
86,Ornskoldsvik,SE,63.29,18.72,44.6,100,90,3.36,fog
87,Behbahan,IR,30.6,50.24,64.4,42,0,8.12,clear sky
88,Mar Del Plata,AR,-38.0,-57.56,52.0,87,20,14.99,few clouds
89,Porto-Vecchio,FR,41.59,9.28,69.8,63,83,14.99,broken clouds
90,Kavaratti,IN,10.57,72.64,81.28,81,100,16.04,light rain
91,Ayia Marina,GR,37.75,23.53,69.01,69,0,1.01,clear sky
92,General Jose Eduvigis Diaz,PY,-27.17,-58.42,73.0,48,6,3.0,clear sky
93,Arraial Do Cabo,BR,-22.97,-42.03,70.02,79,52,19.8,light rain
94,Cap Malheureux,MU,-19.98,57.61,73.99,87,1,3.0,clear sky
95,Krasnaya Gora,RU,53.0,31.6,51.8,93,75,2.24,mist
96,Berlevag,NO,70.86,29.09,47.16,91,100,13.94,overcast clouds
97,Ponta Delgada,PT,37.73,-25.67,68.0,88,75,8.05,broken clouds
98,Sovetskiy,RU,61.36,63.58,43.25,94,100,5.7,overcast clouds
99,Robertsport,LR,6.75,-11.37,78.75,82,100,10.42,moderate rain
100,Navoloki,RU,57.47,41.96,44.76,84,94,5.12,overcast clouds
101,Maniitsoq,GL,65.42,-52.9,39.36,87,100,3.6,light rain
102,Coihaique,CL,-45.58,-72.07,50.0,39,47,5.82,scattered clouds
103,Ostrovnoy,RU,68.05,39.51,44.62,88,65,17.38,broken clouds
104,Praia Da Vitoria,PT,38.73,-27.07,66.2,93,75,10.87,broken clouds
105,Bambous Virieux,MU,-20.34,57.76,73.99,94,40,3.36,shower rain
106,Lagoa,PT,39.05,-27.98,68.56,80,49,12.39,scattered clouds
107,Kindu,CD,-2.95,25.95,70.63,96,100,0.6,overcast clouds
108,Rocha,UY,-34.48,-54.33,45.03,86,0,6.51,clear sky
109,Riachao Das Neves,BR,-11.75,-44.91,72.46,77,100,2.89,light rain
110,Saldanha,ZA,-33.01,17.94,53.22,67,0,13.4,clear sky
111,Opuwo,NA,-18.06,13.84,50.97,45,0,1.72,clear sky
112,Saint George,US,37.1,-113.58,77.0,16,1,4.85,clear sky
113,Amparafaravola,MG,-17.58,48.22,67.84,82,91,2.64,overcast clouds
114,Lodja,CD,-3.48,23.43,67.5,96,100,0.51,overcast clouds
115,Longyearbyen,SJ,78.22,15.64,26.6,58,20,9.17,few clouds
116,Ulenje,TZ,-8.93,33.68,60.1,69,42,2.24,scattered clouds
117,Puerto Del Rosario,ES,28.5,-13.86,71.6,83,20,18.34,few clouds
